,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
116,Verkhoyansk,0,RU,1551580096,76,67.55,133.39,-18.38,2.95
117,Cascais,0,PT,1551580381,81,38.7,-9.42,54.0,9.17
118,Slave Lake,1,CA,1551578400,53,55.28,-114.77,-4.01,11.41
119,Yeniseysk,76,RU,1551580402,83,58.45,92.17,22.03,3.4
120,Strezhevoy,0,RU,1551578400,85,60.73,77.6,17.6,8.95
121,Tiznit,12,MA,1551580110,95,29.7,-9.73,49.89,3.4
122,Sitka,92,US,1551579397,84,37.17,-99.65,23.0,5.99
123,Havre-Saint-Pierre,40,CA,1551578400,51,50.23,-63.6,12.2,5.82
124,Kropotkin,56,RU,1551579318,92,45.43,40.58,34.0,7.87
125,Moron,64,VE,1551580156,93,10.49,-68.2,66.13,2.51
126,Prince George,1,CA,1551578400,39,53.92,-122.75,8.6,8.05
127,Saint-Pierre,75,FR,1551580024,87,48.95,4.24,48.2,14.99
128,Souillac,75,FR,1551579934,100,45.6,-0.6,48.2,4.7
129,Ratnagiri,0,IN,1551580403,100,16.98,73.3,75.36,6.31
130,Aljezur,0,PT,1551580328,93,37.31,-8.8,54.0,10.67
131,Bathsheba,40,BB,1551578400,73,13.22,-59.52,77.0,23.04
132,Grass Valley,90,US,1551580396,100,39.22,-121.06,55.4,2.62
133,Trencianske Teplice,80,SK,1551580328,86,48.91,18.17,37.4,2.24
134,Albany,90,US,1551579920,69,42.65,-73.75,34.0,1.95
135,Turan,8,RU,1551580226,83,52.15,93.92,13.84,2.62
136,Dulce Nombre de Culmi,56,HN,1551580404,91,15.08,-85.56,63.84,1.95
137,Yar,56,RU,1551580404,80,58.24,52.11,9.39,12.57
138,Haukipudas,0,FI,1551580291,84,65.17,25.5,3.99,4.7
139,Sao Filipe,0,CV,1551580159,92,14.9,-24.5,71.31,15.82
140,Kruisfontein,0,ZA,1551580092,87,-34.0,24.73,59.29,2.39
141,Beringovskiy,68,RU,1551580168,90,63.05,179.32,29.55,18.95
142,Kahului,75,US,1551579989,57,20.89,-156.47,78.01,12.75
143,Caucaia,92,BR,1551579706,100,-3.73,-38.66,79.0,1.99
144,Mayumba,56,GA,1551580405,100,-3.44,10.65,77.02,5.41
145,Thessalon,90,CA,1551579360,79,46.26,-83.55,19.4,6.93
146,Samarai,8,PG,1551580099,100,-10.62,150.67,81.39,2.62
147,Hovd,90,NO,1551579919,97,63.83,10.7,33.01,11.41
148,Havoysund,80,NO,1551577800,85,71.0,24.66,24.8,19.46
149,Bredasdorp,68,ZA,1551579316,88,-34.53,20.04,66.0,3.36
150,Uddevalla,92,SE,1551580390,93,58.35,11.94,41.0,10.29
151,Klaksvik,92,FO,1551579600,87,62.23,-6.59,42.8,9.17
152,Tutayev,0,RU,1551578400,78,57.89,39.54,15.8,11.18
153,Vila Velha,92,BR,1551579706,100,-3.71,-38.6,79.0,1.99
154,Iqaluit,5,CA,1551579762,76,63.75,-68.52,-11.01,12.75
155,Airai,36,TL,1551580104,71,-8.93,125.41,81.52,1.72
156,Ponta do Sol,92,BR,1551579732,97,-20.63,-46.0,64.74,4.52
157,Byron Bay,40,AU,1551580328,69,-28.65,153.62,84.0,10.29
158,Isetskoye,88,RU,1551580406,87,56.49,65.32,19.29,8.66
159,Tessalit,0,ML,1551579945,39,20.2,1.01,43.81,5.64
160,Cabo San Lucas,5,MX,1551579606,50,22.89,-109.91,77.0,9.44
161,Borskoye,76,RU,1551580406,89,53.03,51.7,19.87,15.82
162,Marawi,68,PH,1551580260,79,8.0,124.29,81.0,4.0
163,Torrington,90,US,1551580330,70,42.06,-104.18,1.4,10.29
164,Xining,0,CN,1551580078,18,36.62,101.77,36.16,3.62
165,Vanavara,0,RU,1551580407,78,60.35,102.28,16.63,3.74
166,Wamba,20,CD,1551580407,95,2.14,27.99,64.96,2.17
167,Presidencia Roque Saenz Pena,0,AR,1551580408,77,-26.79,-60.44,74.64,4.18
168,Emmett,1,US,1551580261,64,43.87,-116.5,41.0,5.82
169,Algarrobo,48,CO,1551580408,78,10.19,-74.06,73.06,2.17
170,Esperance,75,TT,1551579907,83,10.24,-61.45,78.01,6.93
171,Cidreira,92,BR,1551579945,63,-30.17,-50.22,76.48,1.95
172,Usinsk,0,RU,1551580408,64,66.0,57.56,-3.98,6.76
173,Talbahat,64,IN,1551580409,76,25.05,78.43,58.21,11.12
174,Haines Junction,76,CA,1551580083,85,60.75,-137.51,12.76,1.95
175,Hermanus,24,ZA,1551579394,89,-34.42,19.24,66.0,1.01
176,Harper,90,US,1551579938,93,30.3,-99.24,59.0,4.7
177,Isangel,36,VU,1551579997,93,-19.55,169.27,84.0,10.45
178,Labytnangi,0,RU,1551580409,28,66.66,66.39,-19.46,3.62
179,Tarata,0,PE,1551578400,72,-17.47,-70.03,68.0,3.36
180,Bowen,40,AU,1551580365,65,-20.01,148.25,86.0,18.34
181,Riyadh,0,SA,1551578400,43,24.63,46.72,50.0,2.24
182,Lorengau,32,PG,1551580149,93,-2.02,147.27,84.81,9.1
183,Hilo,1,US,1551580052,64,19.71,-155.08,75.2,12.75
184,East London,92,ZA,1551579972,100,-33.02,27.91,70.09,4.52
185,San Patricio,0,PY,1551580152,72,-26.98,-56.83,72.57,2.51
186,Simao,0,CN,1551580096,46,22.76,100.79,69.24,2.95
187,Portland,20,US,1551579913,48,45.52,-122.67,39.99,25.28
188,Lazurne,0,UA,1551580410,86,46.77,34.99,20.37,7.87
189,Bethel,75,US,1551577980,86,60.79,-161.76,35.6,6.93
190,Atasu,88,KZ,1551580410,95,48.68,71.64,31.17,19.06
191,Codrington,40,AU,1551579686,69,-28.95,153.24,78.8,10.29
192,Acari,92,BR,1551580411,97,-6.44,-36.64,70.72,2.28
193,Saint-Louis,75,CH,1551580384,70,47.59,7.56,48.99,8.05
194,Uray,80,RU,1551580412,86,60.13,64.8,20.82,6.2
195,Lompoc,90,US,1551580040,93,34.64,-120.46,59.0,6.93
196,Itarema,92,BR,1551580412,100,-2.92,-39.92,73.24,2.62
197,Siddipet,20,IN,1551580412,80,18.1,78.85,74.1,10.78
198,Wabag,64,PG,1551580413,89,-5.48,143.7,62.98,1.72
199,Batemans Bay,0,AU,1551579904,32,-35.71,150.18,84.0,1.99
200,Piet Retief,100,ZA,1551580204,98,-27.01,30.81,61.32,2.95
201,Sao Joao da Barra,64,BR,1551579971,96,-21.64,-41.05,83.68,24.99
202,Zhanakorgan,24,KZ,1551580413,90,43.91,67.25,32.97,2.73
203,Roblin,36,CA,1551580413,68,51.23,-101.35,-10.55,14.36
204,Cherskiy,48,RU,1551580130,76,68.75,161.3,-3.76,8.88
205,Gewane,0,ET,1551580413,77,10.16,40.66,64.56,5.19
206,Nikolskoye,75,RU,1551579634,73,59.7,30.79,23.0,20.13
207,Hamilton,90,BM,1551579920,94,32.3,-64.78,68.0,18.34
208,Pinawa,44,CA,1551580413,68,50.15,-95.88,-5.47,5.75
209,Bandarbeyla,0,SO,1551580104,100,9.49,50.81,76.66,4.63
210,Turukhansk,80,RU,1551580414,85,65.8,87.96,16.36,16.26
211,Kirakira,0,SB,1551580414,100,-10.46,161.92,83.64,10.33
212,Manyana,0,AU,1551580334,42,-35.26,150.51,86.0,9.17
213,Mehamn,76,NO,1551580093,92,71.03,27.85,23.25,7.65
214,Candido de Abreu,0,BR,1551580414,60,-24.57,-51.33,64.69,4.74
215,Provideniya,24,RU,1551579929,94,64.42,-173.23,27.12,10.0
216,Tura,0,IN,1551580139,69,25.52,90.21,66.13,3.4
217,Acapulco,5,MX,1551577560,83,16.86,-99.88,78.8,9.17
218,Clyde River,1,CA,1551578400,83,70.47,-68.59,-4.01,14.99
219,Vilyuysk,0,RU,1551580415,69,63.75,121.63,4.48,3.74
220,Zhangjiakou,24,CN,1551580415,69,40.77,114.88,43.59,3.85
221,Ferme-Neuve,80,CA,1551580415,82,46.7,-75.45,16.95,2.28
222,Porto Murtinho,36,BR,1551580415,87,-21.7,-57.88,76.39,3.06
223,Geraldton,20,CA,1551578400,54,49.72,-86.95,1.4,4.7
224,Saint-Augustin,0,FR,1551579849,93,44.83,-0.61,48.2,3.36
225,Brae,44,GB,1551577800,87,60.4,-1.35,44.6,14.99
226,Banda Aceh,76,ID,1551580088,78,5.56,95.32,83.19,2.62
227,Aloleng,8,PH,1551580415,93,16.13,119.78,78.46,6.31
228,Talara,24,PE,1551580356,80,-4.58,-81.27,75.45,4.74
229,Prince Rupert,1,CA,1551578400,100,54.32,-130.32,32.0,9.17
230,Kanniyakumari,20,IN,1551580416,100,8.08,77.57,80.44,18.84
231,Monrovia,75,LR,1551578400,94,6.33,-10.8,77.0,4.74
232,Georgetown,75,GY,1551574800,78,6.8,-58.16,80.6,6.93
233,Taltal,76,CL,1551580137,88,-25.41,-70.49,59.97,1.39
234,Luderitz,0,NA,1551579967,81,-26.65,15.16,62.89,17.83
235,Maragogi,76,BR,1551579839,90,-9.01,-35.22,78.82,2.95
236,Sabang,32,PH,1551580113,85,13.72,123.58,80.53,5.08
237,Hailar,20,CN,1551580153,42,49.2,119.7,37.11,4.74
238,Kokopo,24,PG,1551580416,94,-4.34,152.27,84.13,5.75
239,Vila Franca do Campo,75,PT,1551578400,93,37.72,-25.43,62.6,26.4
240,Bontang,12,ID,1551580417,79,0.12,117.47,85.39,6.2
241,Qaanaaq,0,GL,1551579931,71,77.48,-69.36,5.56,18.72
242,Dawson Creek,1,CA,1551578400,57,55.76,-120.23,-2.21,3.36
243,Bubaque,0,GW,1551580113,100,11.28,-15.83,75.0,5.97
244,Karasjok,0,NO,1551577800,65,69.47,25.52,8.6,28.86
245,Upernavik,56,GL,1551580079,100,72.79,-56.15,1.87,4.63
246,Vanse,92,NO,1551580335,97,58.12,6.7,43.0,5.99
247,Dingle,32,PH,1551579959,63,11.0,122.67,84.31,10.45
248,Karoi,0,ZW,1551580418,56,-16.82,29.68,69.42,7.87
249,Excelsior Springs,90,US,1551580134,63,39.34,-94.23,27.0,11.41
250,Polovinnoye,88,RU,1551580418,94,54.79,65.99,20.46,18.95
251,Guiratinga,32,BR,1551580418,95,-16.35,-53.76,69.82,2.95
252,Richards Bay,92,ZA,1551580151,100,-28.77,32.06,71.44,10.33
253,Inverness,36,GB,1551579905,87,57.48,-4.23,46.0,24.16
254,Natchez,90,US,1551579905,82,31.56,-91.4,60.01,9.17
255,Billings,90,US,1551580312,76,45.79,-108.5,-5.01,9.17
256,Ulladulla,0,AU,1551579331,42,-35.36,150.48,86.0,9.17
257,Meulaboh,64,ID,1551580419,100,4.14,96.13,82.56,2.62
258,Chuy,0,UY,1551579593,86,-33.69,-53.46,64.33,11.23
259,Muros,75,ES,1551580113,81,42.77,-9.06,57.99,16.11
260,Half Moon Bay,90,US,1551580416,100,37.46,-122.43,57.99,9.17
261,Severo-Kurilsk,12,RU,1551580135,100,50.68,156.12,26.94,14.7
262,Puerto Leguizamo,8,CO,1551580420,90,-0.19,-74.78,77.47,2.39
263,Hobyo,0,SO,1551580420,91,5.35,48.53,73.92,8.21
264,Wewak,76,PG,1551580420,82,-3.55,143.63,81.88,2.62
265,Sibolga,44,ID,1551580142,93,1.74,98.78,76.57,2.39
266,Pangoa,8,PE,1551580420,90,-12.12,-73.0,66.49,2.95
267,Padang,75,ID,1551578400,88,-0.92,100.36,80.6,4.7
268,Pishin,0,PK,1551580232,100,30.58,67.0,26.49,2.28
269,Naze,40,NG,1551578400,94,5.43,7.07,78.8,3.06
270,Saint George,40,GR,1551577800,40,39.45,22.34,51.8,12.75
271,Te Anau,0,NZ,1551580141,29,-45.41,167.72,73.06,4.97
272,Nantucket,90,US,1551580106,86,41.28,-70.1,33.8,14.99
273,Kavaratti,12,IN,1551580099,100,10.57,72.64,81.39,8.99
274,Tabou,0,CI,1551580062,98,4.42,-7.36,82.78,4.85
275,Roald,64,NO,1551579904,80,62.58,6.12,41.0,11.41
276,Namatanai,0,PG,1551580112,86,-3.66,152.44,86.83,6.87
277,Mattru,8,SL,1551580421,79,7.62,-11.83,75.04,4.74
278,Berdigestyakh,0,RU,1551580080,60,62.1,126.7,0.79,3.85
279,Pacific Grove,90,US,1551580078,93,36.62,-121.92,59.0,5.97
280,Egvekinot,36,RU,1551580422,88,66.32,-179.17,20.82,6.76
281,Sambava,88,MG,1551580422,100,-14.27,50.17,77.61,8.88
282,Shelburne,75,CA,1551579962,100,44.08,-80.2,28.0,2.24
283,Ormara,0,PK,1551580422,100,25.21,64.64,62.26,5.97
284,Dunedin,0,NZ,1551580293,59,-45.87,170.5,66.99,8.99
285,Komsomolskiy,44,RU,1551580423,74,67.55,63.78,-3.49,10.22
286,Vicksburg,75,US,1551580265,93,32.35,-90.88,57.0,3.36
287,Galveston,75,US,1551580420,79,40.58,-86.19,32.0,10.29
288,Mus,0,FR,1551580327,75,43.74,4.2,48.2,5.82
289,Wellington,0,NZ,1551580309,72,-41.29,174.78,75.0,8.05
290,Chortomlyk,0,UA,1551580424,100,47.62,34.14,21.76,8.66
291,San Onofre,20,CO,1551580424,84,9.74,-75.52,79.5,3.74
292,Dolores,0,AR,1551580147,92,-36.31,-57.68,55.24,7.31
293,Arawa,56,NG,1551578400,88,7.05,3.9,78.8,4.7
294,Clarksburg,90,US,1551580119,64,39.28,-80.34,39.99,3.36
295,Umm Kaddadah,0,SD,1551580425,18,13.6,26.69,60.51,9.89
296,Tynne,0,UA,1551580425,71,51.17,26.77,17.76,6.98
297,Mecca,68,SA,1551580071,66,21.43,39.83,59.56,7.43
298,Pyaozerskiy,0,RU,1551580425,66,65.83,31.17,1.92,2.95
299,Prieska,0,ZA,1551580426,74,-29.67,22.74,57.13,2.62
300,Ola,0,RU,1551580426,100,59.58,151.3,5.52,3.74
301,Luanda,75,AO,1551578400,88,-8.83,13.24,80.6,2.24
302,Rodionovo-Nesvetayskaya,0,RU,1551578400,80,47.61,39.7,30.2,8.95
303,Lazaro Cardenas,75,MX,1551577560,23,28.39,-105.62,75.2,10.29
304,Eyl,92,SO,1551580426,100,7.98,49.82,75.58,6.08
305,Nyaunglebin,0,MM,1551580186,67,17.95,96.73,82.92,2.39
306,Tefe,32,BR,1551580426,90,-3.35,-64.71,77.38,4.97
307,Upington,0,ZA,1551578400,56,-28.46,21.24,71.6,6.93
308,Maldonado,20,UY,1551574800,68,-34.91,-54.96,64.4,11.41
309,Khandyga,8,RU,1551580427,50,62.65,135.58,-9.79,3.4
310,Masumbwe,0,TZ,1551580427,89,-3.65,32.16,59.07,3.85
311,Yulara,0,AU,1551578400,13,-25.24,130.99,98.6,8.05
312,Port Augusta,0,AU,1551580055,54,-32.49,137.76,98.01,8.05
313,Qaqortoq,20,GL,1551577800,46,60.72,-46.03,28.4,8.05
314,Dakoro,20,NE,1551580428,32,14.51,6.76,64.87,11.23
315,Tocache,0,PE,1551580428,88,-8.19,-76.51,55.87,0.83
316,Viransehir,92,TR,1551580428,97,37.24,39.76,43.86,3.51
317,Hasaki,75,JP,1551579575,93,35.73,140.83,45.0,4.7
318,Yenagoa,48,NG,1551580428,95,4.92,6.26,72.16,3.62
319,Itoman,75,JP,1551580387,83,26.12,127.67,77.0,14.99
320,Hay River,20,CA,1551578400,63,60.82,-115.79,-9.41,4.63
321,Tabatinga,80,BR,1551580429,99,-21.74,-48.69,67.57,3.85
322,Akdepe,0,TM,1551578400,92,42.05,59.39,33.8,6.93
323,Somerville,90,US,1551580416,86,40.57,-74.61,37.99,4.97
324,Poum,0,MK,1551580081,71,41.28,20.71,15.19,1.83
325,Bose,0,IT,1551580217,52,45.46,8.01,46.99,2.24
326,Chaoyang,0,CN,1551580430,50,41.58,120.44,56.68,4.97
327,Vaitape,44,PF,1551580277,100,-16.52,-151.75,84.13,7.31
328,Oldenburg,75,DE,1551580208,76,53.14,8.21,51.01,14.99
329,Leningradskiy,32,RU,1551579949,86,69.38,178.42,2.37,3.18
330,Barguzin,68,RU,1551580430,78,53.62,109.63,23.11,2.17
331,Cuamba,92,MZ,1551580430,100,-14.8,36.54,68.79,3.85
332,Salihli,88,TR,1551580430,97,38.48,28.15,37.51,1.95
333,Faanui,44,PF,1551580099,100,-16.48,-151.75,83.37,6.2
334,Zhenjiang,20,CN,1551580419,83,32.21,119.46,51.01,5.53
335,Moa,76,CU,1551580431,96,20.66,-74.95,68.38,2.17
336,Alice Springs,0,AU,1551579120,13,-23.7,133.88,96.8,17.22
337,Hambantota,20,LK,1551579000,100,6.12,81.12,78.8,2.24
338,Shingu,75,JP,1551578400,76,33.72,135.99,51.8,5.82
339,Hinton,0,CA,1551580431,48,53.4,-117.57,-11.41,2.17
340,Kiunga,36,PG,1551580433,84,-6.12,141.3,81.79,2.28
341,Praia da Vitoria,20,PT,1551579394,87,38.73,-27.07,57.99,27.11
342,Fortuna,0,ES,1551580112,75,38.18,-1.13,53.01,3.36
343,Cherkasskoye,0,RU,1551580435,82,52.43,47.21,14.25,11.56
344,Auki,0,NG,1551580435,35,12.18,6.51,65.77,6.42
345,Lasa,90,CY,1551579491,76,34.92,32.53,57.2,2.24
346,Lodja,88,CD,1551580436,95,-3.52,23.6,69.28,3.29
347,Toro,20,CO,1551578400,82,4.61,-76.08,69.8,3.36
348,Ocos,40,GT,1551577200,78,14.51,-92.19,80.6,5.3
349,Durham,20,GB,1551580290,52,54.78,-1.58,46.4,28.86
350,Santa Maria da Vitoria,8,BR,1551580436,93,-13.39,-44.19,67.71,2.95
351,Portoferraio,0,IT,1551580242,80,42.81,10.31,48.0,4.7
352,Igarka,80,RU,1551580437,87,67.47,86.57,17.4,20.96
353,Tayga,76,RU,1551580437,86,64.77,43.49,11.59,4.52
354,Booue,92,GA,1551580437,98,-0.09,11.94,73.29,2.06
355,Tromso,40,NO,1551579600,67,69.65,18.96,17.6,8.05
356,Jati,8,PK,1551580437,91,24.35,68.27,58.66,8.99
357,Nara,75,JP,1551580264,43,34.68,135.8,53.6,1.12
358,Ozernovskiy,0,RU,1551580180,89,51.5,156.52,22.03,11.56
359,Pochutla,8,MX,1551580287,62,15.74,-96.47,81.0,8.66
360,Moussoro,0,TD,1551580438,43,13.64,16.49,74.32,8.99
361,Huarmey,48,PE,1551580438,85,-10.07,-78.15,67.39,3.4
362,Mineral del Monte,0,MX,1551580438,95,20.14,-98.67,56.91,2.06
363,Sangmelima,92,CM,1551580438,92,2.93,11.98,70.09,2.28
364,Bilibino,0,RU,1551579614,57,68.06,166.44,-7.13,3.18
365,Tocopilla,12,CL,1551580119,95,-22.09,-70.2,62.22,0.72
366,Baksheyevo,44,RU,1551580439,84,55.71,39.88,12.13,15.37
367,Ballina,76,IE,1551580388,70,54.11,-9.15,48.99,15.99
368,Kisangani,92,CD,1551580439,100,0.52,25.21,68.83,2.62
369,Victor Harbor,0,AU,1551580318,65,-35.55,138.62,88.0,8.05
370,Makat,68,KZ,1551580439,92,47.65,53.35,32.07,11.56
371,Palmer,0,AU,1551580318,65,-34.85,139.16,91.0,8.05
372,Tulum,5,MX,1551580274,94,20.21,-87.46,79.0,2.24
373,Maningrida,20,AU,1551580440,76,-12.05,134.23,87.15,11.23
